pmid,year,title,first_last_authors,journal,species,cell_line,n_cells_per_aggregate,chir_uM,chir_onset_h,chir_offset_h,base_media,harvest_timepoints_h,imaging_modalities,fluorescent_reporters,morphology_quantified,morphology_metric,morphology_n,morphology_timepoint_h,elongation_pct,shape_distribution_figure,variability_addressed,key_perturbation,key_finding,full_text_source,pmcid,extraction_reviewed
28292838,2017,Ethical issues in human organoid and gastruloid research.,Megan … Jeremy,"Development (Cambridge, England)",human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Research involving human organoids and gastruloids involves ethical issues related to their derivation, maturation, and use, which are not specifically addressed by existing ethics oversight mechanisms.",abstract only,,False
28943028,2017,Engineering Ethics and Self-Organizing Models of Human Development: Opportunities and Challenges.,Insoo,Cell stem cell,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Incorporating engineering ethics early in organoid and gastruloid research planning may help clarify the moral status of complex developmental models, though the self-organizing nature of these systems poses challenges.",abstract only,,False
28292844,2017,"Embryoids, organoids and gastruloids: new approaches to understanding embryogenesis.",Mijo … H,"Development (Cambridge, England)",human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Embryoids, organoids and gastruloids generated in vitro provide opportunities to explore complex embryological events in a detailed and quantitative manner.",abstract only,5358114.0,False
27746044,2016,A Balance between Secreted Inhibitors and Edge Sensing Controls Gastruloid Self-Organization.,Fred … D,Developmental cell,human,RUES2,not reported,not reported,not reported,not reported,HUESM,42,"confocal, widefield-fluorescence","pSMAD1, YAP/TAZ, ZO-1, WGA, BMPRIA, BMPRII, ActRIB, ActRIIB",N,not reported,not reported,not reported,not reported,N,N,BMP4 dose titration and cell density variation on micropatterned colonies,"Gastruloid self-organization is controlled by a combination of density-dependent receptor relocalization to the basolateral surface and BMP4-induced secretion of the Noggin inhibitor, which together create spatial restrictions in TGF-β signaling response.",PMC,5113147.0,False
27792143,2016,Self-Organization of Stem Cell Colonies and of Early Mammalian Embryos: Recent Experiments Shed New Light on the Role of Autonomy vs. External Instructions in Basic Body Plan Development.,Hans-Werner,Cells,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,Self-organization of gastruloids and early mammalian embryos in vitro demonstrates pattern formation and basic body plan development through mechanisms that involve autonomy versus external instructive signals.,abstract only,5187523.0,False
27825435,2016,"Signaling Boundary Conditions Drive Self-Organization of Human ""Gastruloids"".",Matthew,Developmental cell,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,none / descriptive study,"A confined colony of human embryonic stem cells can spontaneously sense its boundary, generating a self-organized TGF-β signaling gradient that patterns it into a tissue resembling a gastrulating embryo.",abstract only,,False
25371360,2014,"Symmetry breaking, germ layer specification and axial organisation in aggregates of mouse embryonic stem cells.",C … Alfonso,"Development (Cambridge, England)",mouse,E14-Tg2A,300,not reported,48,72,N2B27,120,"brightfield, confocal","Sox1-GFP, Sox17-GFP, Bra-GFP, TCF/LEF-mCherry, TBX6-EYFP, GPI-GFP, Bra, E-Cadherin, Sox17, FoxA2",Y,"elongation, polarisation",not reported,120,30,N,Y,N2B27 pre-treatment followed by Act/Chi signalling pulse timing and aggregate size optimization,"Aggregates of mESCs undergo symmetry breaking and polarization under defined culture conditions with optimal cell number (300±100 cells) and sequential exposure to N2B27 followed by activin A and CHIR99021, resulting in median 30% elongated gastruloids by day 4.",PMC,4302915.0,False
33303587,2020,Mouse embryonic stem cells self-organize into trunk-like structures with neural tube and somites.,V … G,"Science (New York, N.Y.)",mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,N,"Tbx6 knockout, chemical modulation of somite formation",Mouse ESC aggregates self-organize into trunk-like structures with neural tube and somites that recapitulate post-implantation embryogenesis through similar gene-regulatory programs.,abstract only,,False
30819898,2019,Synergy with TGFβ ligands switches WNT pathway dynamics from transient to sustained during human pluripotent cell differentiation.,Joseph … Aryeh,Proceedings of the National Academy of Sciences of the United States of America,human,hESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,live-imaging,not reported,N,not reported,not reported,not reported,not reported,N,N,WNT signaling with TGFβ ligands (Activin and BMP) co-stimulation,"β-catenin signaling dynamics switch from transient to sustained upon differentiation of pluripotent stem cells, with TGFβ ligands enhancing the β-catenin response independent of WNT ligand production.",abstract only,6421465.0,False
99999001,2025,Opposing Nodal and Wnt signalling activities govern the emergence of the mammalian body plan,Dias André … Martinez Arias Alfonso,bioRxiv (preprint),mouse,E14Tg2A mESC (129/svev),300,3,48,72,N2B27,"96, 120","confocal, live-imaging","Wnt reporter, Nodal reporter (dual)",N,not reported,not reported,not reported,not reported,N,N,ActA 100ng/ml vs 25ng/ml; Wnt3 KO; CHIR3uM,"Opposing Wnt and Nodal signalling activities govern AP identity. Nodal signalling inversely affects Wnt activity (and vice versa). Wnt drives posterior PS fate (TBXT, CDX2); Nodal drives anterior PS fate (EOMES, FOXA2, LHX1).",manual (uploaded PDF),,True
